Terminal;Moega;ID Vagão;Produto;Chegada_Trem;Data/Hora Encoste;Data/Hora Início Descarga;Data/Hora Fim Descarga
DDD;Moega LLL;2199871;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 19:25;23/01/2022 19:31
DDD;Moega LLL;993110;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 19:27;23/01/2022 19:32
DDD;Moega LLL;4374790;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 19:27;23/01/2022 19:33
DDD;Moega LLL;3972880;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 19:39;23/01/2022 19:51
DDD;Moega LLL;6643027;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 19:40;23/01/2022 19:51
DDD;Moega LLL;772967;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 19:41;23/01/2022 19:51
DDD;Moega LLL;2311891;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:05;23/01/2022 20:12
DDD;Moega LLL;3224426;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:06;23/01/2022 20:11
DDD;Moega LLL;1739702;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:06;23/01/2022 20:11
DDD;Moega LLL;2803022;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:12;23/01/2022 20:18
DDD;Moega LLL;6104267;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:13;23/01/2022 20:19
DDD;Moega LLL;8243229;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:14;23/01/2022 20:20
DDD;Moega LLL;2916709;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:23;23/01/2022 20:28
DDD;Moega LLL;3452964;Soja;23/01/2022 18:09;23/01/2022 19:09;23/01/2022 20:24;23/01/2022 20:29
DDD;Moega LLL;7384119;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 10:53;23/01/2022 11:01
DDD;Moega LLL;3073520;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 10:53;23/01/2022 11:01
DDD;Moega LLL;5437033;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 10:53;23/01/2022 11:01
DDD;Moega LLL;1042077;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:03;23/01/2022 11:16
DDD;Moega LLL;3819964;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:03;23/01/2022 11:16
DDD;Moega LLL;4642442;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:03;23/01/2022 11:16
DDD;Moega LLL;680395;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:16;23/01/2022 11:29
DDD;Moega LLL;771569;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:16;23/01/2022 11:29
DDD;Moega LLL;2530561;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:16;23/01/2022 11:29
DDD;Moega LLL;2912168;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:29;23/01/2022 11:48
DDD;Moega LLL;4374125;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:29;23/01/2022 11:48
DDD;Moega LLL;1123161;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:29;23/01/2022 11:48
DDD;Moega LLL;5465378;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:49;23/01/2022 11:55
DDD;Moega LLL;7995209;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:49;23/01/2022 11:55
DDD;Moega LLL;4621266;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 11:49;23/01/2022 11:55
DDD;Moega LLL;7634389;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:03;23/01/2022 12:10
DDD;Moega LLL;5010901;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:03;23/01/2022 12:10
DDD;Moega LLL;3866388;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:03;23/01/2022 12:10
DDD;Moega LLL;5966049;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:12;23/01/2022 12:24
DDD;Moega LLL;6532313;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:12;23/01/2022 12:24
DDD;Moega LLL;6120703;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:12;23/01/2022 12:24
DDD;Moega LLL;8221267;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:24;23/01/2022 12:40
DDD;Moega LLL;1267888;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:24;23/01/2022 12:40
DDD;Moega LLL;8206056;Soja;23/01/2022 09:15;23/01/2022 10:25;23/01/2022 12:24;23/01/2022 12:41
DDD;Moega LLL;1677383;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:30;01/02/2022 01:42
DDD;Moega LLL;7068347;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:30;01/02/2022 01:42
DDD;Moega LLL;4242386;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:30;01/02/2022 01:42
DDD;Moega LLL;5971854;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:45;01/02/2022 01:57
DDD;Moega LLL;2539595;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:45;01/02/2022 01:57
DDD;Moega LLL;1576079;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:45;01/02/2022 01:57
DDD;Moega LLL;4023498;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:59;01/02/2022 02:10
DDD;Moega LLL;5983325;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:59;01/02/2022 02:10
DDD;Moega LLL;4118874;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:03;01/02/2022 02:09
DDD;Moega LLL;4702717;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:15;01/02/2022 02:24
DDD;Moega LLL;7859062;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:15;01/02/2022 02:24
DDD;Moega LLL;5916368;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:15;01/02/2022 02:24
