Terminal;Data Descarga;Quantidade Vagões
DDD;02/01/2022;70
DDD;03/01/2022;3
DDD;04/01/2022;63
DDD;05/01/2022;58
DDD;06/01/2022;84
DDD;07/01/2022;60
DDD;08/01/2022;14
DDD;10/01/2022;18
DDD;11/01/2022;44
DDD;12/01/2022;15
DDD;13/01/2022;24
DDD;15/01/2022;82
DDD;16/01/2022;41
DDD;17/01/2022;42
DDD;18/01/2022;86
DDD;20/01/2022;125
DDD;21/01/2022;88
DDD;22/01/2022;118
DDD;23/01/2022;125
DDD;25/01/2022;25
DDD;26/01/2022;64
DDD;27/01/2022;140
DDD;28/01/2022;147
DDD;29/01/2022;162
DDD;30/01/2022;47
DDD;31/01/2022;120
DDD;01/02/2022;123
EEE;02/01/2022;108
EEE;03/01/2022;48
EEE;04/01/2022;77
EEE;05/01/2022;97
EEE;06/01/2022;60
EEE;07/01/2022;64
EEE;08/01/2022;17
EEE;10/01/2022;29
EEE;11/01/2022;135
EEE;12/01/2022;147
EEE;13/01/2022;80
EEE;14/01/2022;56
EEE;15/01/2022;190
EEE;16/01/2022;156
EEE;17/01/2022;172
EEE;18/01/2022;103
EEE;19/01/2022;147
EEE;20/01/2022;120
EEE;21/01/2022;164
EEE;22/01/2022;147
EEE;23/01/2022;131
EEE;24/01/2022;147
EEE;25/01/2022;197
EEE;26/01/2022;124
EEE;27/01/2022;140
EEE;28/01/2022;144
EEE;29/01/2022;147
EEE;30/01/2022;124
EEE;31/01/2022;59
EEE;01/02/2022;83
FFF;08/01/2022;35
FFF;09/01/2022;35
FFF;10/01/2022;35
FFF;11/01/2022;68
FFF;12/01/2022;37
FFF;13/01/2022;82
FFF;14/01/2022;83
FFF;15/01/2022;21
FFF;16/01/2022;70
FFF;17/01/2022;18
FFF;18/01/2022;60
FFF;19/01/2022;58
FFF;20/01/2022;36
FFF;21/01/2022;25
FFF;22/01/2022;40
FFF;23/01/2022;72
FFF;24/01/2022;24
FFF;25/01/2022;84
FFF;26/01/2022;70
FFF;27/01/2022;55
FFF;28/01/2022;70
FFF;29/01/2022;69
FFF;30/01/2022;20
FFF;31/01/2022;51
FFF;01/02/2022;35
GGG;02/01/2022;100
GGG;03/01/2022;64
GGG;04/01/2022;124
GGG;05/01/2022;68
GGG;06/01/2022;114
GGG;07/01/2022;91
GGG;08/01/2022;1
GGG;11/01/2022;68
GGG;12/01/2022;65
GGG;13/01/2022;28
GGG;14/01/2022;21
GGG;15/01/2022;48
GGG;16/01/2022;52
GGG;17/01/2022;140
GGG;18/01/2022;123
GGG;19/01/2022;64
GGG;20/01/2022;118
GGG;21/01/2022;83
GGG;22/01/2022;4
GGG;23/01/2022;66
GGG;24/01/2022;61
GGG;25/01/2022;15
GGG;26/01/2022;77
GGG;27/01/2022;51
GGG;28/01/2022;125
GGG;29/01/2022;95
GGG;30/01/2022;112
GGG;31/01/2022;74
GGG;01/02/2022;9
HHH;21/01/2022;5
HHH;22/01/2022;58
HHH;23/01/2022;116
HHH;24/01/2022;103
HHH;25/01/2022;82
HHH;26/01/2022;88
HHH;27/01/2022;71
HHH;28/01/2022;92
HHH;29/01/2022;82
HHH;30/01/2022;46
HHH;31/01/2022;72
HHH;01/02/2022;82
HHH;03/02/2022;1
HHH;04/02/2022;1
HHH;05/02/2022;1
III;02/01/2022;25
III;03/01/2022;125
III;04/01/2022;82
III;05/01/2022;56
III;06/01/2022;59
III;08/01/2022;95
III;09/01/2022;30
III;10/01/2022;54
III;11/01/2022;109
III;12/01/2022;68
III;13/01/2022;120
III;14/01/2022;68
III;15/01/2022;58
III;16/01/2022;79
III;17/01/2022;58
III;18/01/2022;107
III;19/01/2022;126
III;20/01/2022;123
III;21/01/2022;120
III;22/01/2022;124
III;23/01/2022;119
III;24/01/2022;109
III;25/01/2022;98
III;26/01/2022;80
III;27/01/2022;74
III;28/01/2022;83
III;29/01/2022;82
III;30/01/2022;22
III;31/01/2022;121
III;01/02/2022;53
III;06/02/2022;13
JJJ;01/01/2022;1
JJJ;02/01/2022;221
JJJ;03/01/2022;238
JJJ;04/01/2022;44
JJJ;05/01/2022;55
JJJ;06/01/2022;7
JJJ;07/01/2022;103
